日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2008-05-22,3.33,2617.25,3.33,10.36,877149440,3472883712
2012-02-29,2419.31,2419.31,9.82,9.82,2365131326,2967684471
2021-02-15,1226.4,3299.42,14.43,14.43,2595487867,246201204
2021-05-06,2392.85,2823.71,258.14,258.14,1663631360,944709907
2034-06-24,925.68,3341.23,6.97,6.97,3201368294,2811089886
2049-01-05,3012.08,3943.18,225.36,715.88,2807955458,4221005030
2057-10-25,501.34,2693.83,501.34,971.17,3692494848,1962605705
2060-10-21,1396.02,3988.64,981.64,981.64,2342715392,929007661
2061-07-21,1912.08,4100.15,1503.7,1503.7,2711100160,2982019865
2064-02-21,15.67,3472.89,15.67,2586.71,871563284,345819904
2064-10-31,1140.46,1839.96,438.99,438.99,2691039232,2097650093
2065-05-30,3.5,917.19,3.01,15.73,848626283,4069654580
2069-03-12,3005.83,3005.83,2316.82,2396.14,2599026688,4239929955
2071-01-22,1137.7,3693.9,1137.7,3087.21,830472192,3586207873
2075-04-02,523.25,820.06,0.0,7.54,3778032307,7539298
2076-12-20,4118.48,4118.48,10.43,10.43,627183812,105405470
2078-04-23,1890.94,3278.07,10.82,10.82,1775042593,2376659634
2090-09-20,4.07,3540.26,4.07,3349.04,1321020954,986076674
2099-03-07,244.49,3271.58,244.49,362.74,3614572624,3791335201
